bin_name,completeness,contamination,group,coding_density,contig_N50,average_gene_length,genome_size,GC_content,total_coding_sequences,classification,fastani_reference,fastani_reference_radius,fastani_taxonomy,fastani_ani,fastani_af,closest_placement_reference,closest_placement_radius,closest_placement_taxonomy,closest_placement_ani,closest_placement_af,pplacer_taxonomy,classification_method,note,"other_related_references(genome_id,species_name,radius,ANI,AF)",msa_percent,translation_table,red_value,warnings
Birg_Half_DAS_BirgitHalves_bin.72,95.14,0.05,1_good_quality,0.928,159192,327.587535,1509366,0.3,1428,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__,N/A,N/A,N/A,N/A,N/A,GCF_900167375.1,95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__Anaerorhabdus furcosa,77.11,0.094,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Anaerorhabdus;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,94.06,11,0.89125,N/A
crabs_bin.7,94.58,0.05,1_good_quality,0.865,129041,321.6294254,3836873,0.52,3446,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__,N/A,N/A,N/A,N/A,N/A,GCF_000482745.1,95,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__Oleidesulfovibrio alaskensis,79.92,0.466,d__Bacteria;p__Desulfobacterota_I;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Oleidesulfovibrio;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,80.32,11,0.92916,N/A
Birg_Half_DAS_BirgitHalves_bin.70,95.61,0.06,1_good_quality,0.911,43768,327.8893089,1997652,0.39,1852,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__;f__;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,94.92,11,0.53647,N/A
Tuerk_Half_DAS_TuerkHalves_bin.101,99.77,0.07,1_good_quality,0.86,35203,314.2807233,3572954,0.45,3263,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__Limnobaculum xujianqingii,GCF_013394855.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__Limnobaculum xujianqingii,97.89,0.956,GCF_013394855.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__Limnobaculum xujianqingii,97.89,0.956,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Limnobaculum;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCF_004295645.1, s__Limnobaculum zhutongyuii, 95.0, 91.19, 0.923; GCA_016649425.1, s__Limnobaculum allomyrinae, 95.0, 89.86, 0.902; GCF_003096015.2, s__Limnobaculum parvum, 95.0, 87.89, 0.775",92.63,11,N/A,N/A
old_originals_METABAT__282-contigs,90.55,0.09,1_good_quality,0.881,105097,273.7250238,977605,0.25,1051,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__,N/A,N/A,N/A,N/A,N/A,GCA_900550255.1,95,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__UBA5026 sp900550255,78.07,0.275,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__UBA660;g__UBA5026;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_014845975.1, s__UBA5026 sp014845975, 95.0, 78.27, 0.299; GCA_017936845.1, s__UBA5026 sp017936845, 95.0, 78.03, 0.309; GCA_900552335.1, s__UBA5026 sp900552335, 95.0, 77.76, 0.191; GCA_015059545.1, s__UBA5026 sp015059545, 95.0, 77.72, 0.316; GCA_910584305.1, s__UBA5026 sp910584305, 95.0, 77.58, 0.199; GCA_910576795.1, s__UBA5026 sp910576795, 95.0, 77.51, 0.215; GCA_017940575.1, s__UBA5026 sp017940575, 95.0, 77.43, 0.212; GCA_900546745.1, s__UBA5026 sp900546745, 95.0, 77.41, 0.244; GCA_910586425.1, s__UBA5026 sp910586425, 95.0, 77.37, 0.184; GCA_017476705.1, s__UBA5026 sp017476705, 95.0, 77.12, 0.22; GCA_905235045.1, s__UBA5026 sp905235045, 95.0, 77.03, 0.193; GCA_002416285.1, s__UBA5026 sp002416285, 95.0, 77.01, 0.177; GCA_900752905.1, s__UBA5026 sp900557305, 95.0, 76.97, 0.247; GCA_910578745.1, s__UBA5026 sp910578745, 95.0, 76.75, 0.123; GCA_900313725.1, s__UBA5026 sp900313725, 95.0, 76.44, 0.2",76.73,11,0.92798,N/A
crabs_bin.389,98.13,0.1,1_good_quality,0.918,399837,341.3354013,2871122,0.45,2579,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__Marinicella pacifica,GCF_014636635.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__Marinicella pacifica,96.94,0.901,GCF_014636635.1,95,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__Marinicella pacifica,96.94,0.901,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Marinicellaceae;g__Marinicella;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_008501575.1, s__Marinicella sp008501575, 95.0, 79.27, 0.571; GCF_002591915.1, s__Marinicella litoralis, 95.0, 77.13, 0.088; GCF_002000055.1, s__Marinicella sediminis, 95.0, 76.86, 0.128; GCF_009671245.1, s__Marinicella rhabdoformis, 95.0, 76.72, 0.074",98.17,11,N/A,N/A
Tuerk_Half_DAS_TuerkHalves_bin.311,96.9,0.11,1_good_quality,0.896,25060,297.3863781,1560817,0.33,1571,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactovum;s__,N/A,N/A,N/A,N/A,N/A,GCF_014202895.1,95,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactovum;s__Lactovum miscens,78.03,0.089,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactovum;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,95.89,10.96004,N/A,
porc_Full_DAS_AndFulls_bin.4,90.89,0.12,1_good_quality,0.917,14643,318.0114796,1629569,0.31,1568,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__,N/A,N/A,N/A,N/A,N/A,GCA_001880285.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__UJ101 sp001880285,80.93,0.806,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UJ101;g__UJ101;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,96.31,11,0.96718,Genome not assigned to closest species as it falls outside its pre-defined ANI radius
old_originals_METABAT__291-contigs,100,0.15,1_good_quality,0.902,43839,342.6420075,3923749,0.37,3447,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__,N/A,N/A,N/A,N/A,N/A,GCA_001896965.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__Niabella sp001896965,77.1,0.177,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Niabella;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCF_000374125.1, s__Niabella aurantiaca, 95.0, 76.43, 0.062; GCA_016708305.1, s__Niabella sp016708305, 95.0, 76.35, 0.095; GCA_017744715.1, s__Niabella sp017744715, 95.0, 76.31, 0.068; GCF_001654455.1, s__Niabella ginsenosidivorans, 95.0, 76.29, 0.086; GCF_900101395.1, s__Niabella drilacis, 95.0, 76.26, 0.067; GCF_000243115.2, s__Niabella soli, 95.0, 76.24, 0.079; GCF_003349965.1, s__Niabella yanshanensis, 95.0, 76.15, 0.086; GCA_017744795.1, s__Niabella sp017744795, 95.0, 76.1, 0.07",97.36,11,0.97783,N/A
Birg_Half_DAS_BirgitHalves_nocov.2,98.34,0.16,1_good_quality,0.878,243125,305.717827,1977360,0.49,1896,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Fimivivens;s__,ANI,classification based on placement in class-level tree,"GCA_018716105.1, s__Fimivivens faecavium, 95.0, 76.93, 0.036; GCA_900113995.1, s__Fimivivens sp900113995, 95.0, 76.85, 0.085; GCA_017399785.1, s__Fimivivens sp017399785, 95.0, 76.71, 0.077; GCA_014385025.1, s__Fimivivens sp014385025, 95.0, 76.71, 0.091",94.82,11,0.93691,N/A
old_originals_METABAT__485-contigs,96.51,0.16,1_good_quality,0.869,75763,311.4803116,2481100,0.31,2311,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA5962;g__;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__UBA5962;g__;s__,taxonomic classification fully defined by topology,classification based on placement in class-level tree,N/A,97.12,11,0.73695,N/A
crabs_bin.210,97.2,0.2,1_good_quality,0.882,43019,364.1588209,2813850,0.39,2273,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__,N/A,N/A,N/A,N/A,N/A,GCA_900498215.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__UPXZ01 sp900498215,76.77,0.162,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__UPXZ01;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,"GCA_012518275.1, s__UPXZ01 sp012518275, 95.0, 76.46, 0.041; GCA_017860335.1, s__UPXZ01 sp017860335, 95.0, 76.43, 0.058; GCA_009929445.1, s__UPXZ01 sp009929445, 95.0, 76.17, 0.064; GCA_012523295.1, s__UPXZ01 sp012523295, 95.0, 75.96, 0.053; GCA_012837935.1, s__UPXZ01 sp012837935, 95.0, 75.93, 0.06; GCA_018055865.1, s__UPXZ01 sp018055865, 95.0, 75.82, 0.088",90.51,11,0.94683,N/A
crabs_bin.192,100,0.22,1_good_quality,0.9,133075,326.4252553,2339828,0.44,2154,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium,GCF_003269275.1,95,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium,98.88,0.885,GCF_003269275.1,95,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium,98.88,0.885,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__,taxonomic classification defined by topology and ANI,topological placement and ANI have congruent species assignments,"GCA_900551745.1, s__Phascolarctobacterium sp900551745, 95.0, 94.45, 0.806; GCA_900545535.1, s__Phascolarctobacterium sp900545535, 95.0, 85.59, 0.755; GCA_900544795.1, s__Phascolarctobacterium sp900544795, 95.0, 82.05, 0.734",92.73,11,N/A,N/A
Tuerk_Half_DAS_TuerkHalves_bin.431,94.37,0.26,1_good_quality,0.884,10612,316.0312164,2985209,0.43,2787,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7332;g__UBA7332;s__,N/A,N/A,N/A,N/A,N/A,GCA_002471225.1,95,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7332;g__UBA7332;s__UBA7332 sp002471225,76.73,0.021,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA7332;g__UBA7332;s__,taxonomic classification defined by topology and ANI,classification based on placement in class-level tree,N/A,87.47,11,0.86087,N/A
Birg_Half_DAS_BirgitHalves_bin.86,95.7,0.27,1_good_quality,0.875,67813,290.9387644,1819740,0.35,1829,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Breznakia;s__,taxonomic novelty determined using RED,classification based on placement in class-level tree,N/A,93.23,11,0.90339,N/A
